DIN,fb,v,v1,v1*a0,v1*b1,v2,v2*a1,v2*b2,fb,ff,DOUT
-1,-437,-438,-1504,-556,-622,-608,119,-126,-437,-748,-839,
-633,132,-501,-438,-162,-181,-1504,294,-311,132,-492,-596,
-1,-101,-102,-501,-186,-207,-438,85,-91,-101,-298,-320,
632,60,692,-102,-38,-43,-501,98,-104,60,-147,-5,
0,274,274,692,255,285,-102,19,-22,274,263,319,
1656,-35,1621,274,101,113,692,-136,142,-35,255,589,
-1,545,544,1621,599,669,274,-54,56,545,725,837,
2047,-117,1930,544,201,224,1621,-318,334,-117,558,956,
-1,606,605,1930,713,797,544,-107,112,606,909,1033,
1656,-155,1501,605,223,249,1930,-378,398,-155,647,957,
-1,435,434,1501,554,620,605,-119,124,435,744,833,
632,-134,498,434,160,179,1501,-294,310,-134,489,591,
-1,99,98,498,184,205,434,-85,89,99,294,314,
-633,-62,-695,98,36,40,498,-98,102,-62,142,-2,
-1,-277,-278,-695,-257,-288,98,-20,20,-277,-268,-326,
-1657,33,-1624,-278,-103,-115,-695,136,-144,33,-259,-595,
-1,-547,-548,-1624,-601,-671,-278,54,-58,-547,-729,-843,
-2048,114,-1934,-548,-203,-227,-1624,317,-336,114,-563,-963,
-1,-608,-609,-1934,-715,-799,-548,107,-114,-608,-913,-1039,
-1657,152,-1505,-609,-226,-252,-1934,378,-400,152,-652,-963,
-1,-438,-439,-1505,-557,-622,-609,119,-126,-438,-748,-839,
-633,131,-502,-439,-163,-182,-1505,294,-311,131,-493,-597,
0,-101,-101,-502,-186,-208,-439,85,-91,-101,-299,-320,
632,60,692,-101,-38,-42,-502,98,-104,60,-146,-4,
-1,274,273,692,255,285,-101,19,-21,274,264,320,
1656,-36,1620,273,100,112,692,-136,142,-36,254,588,
0,544,544,1620,598,669,273,-54,56,544,725,837,
2047,-117,1930,544,201,224,1620,-318,334,-117,558,956,
0,606,606,1930,713,797,544,-107,112,606,909,1034,
1656,-155,1501,606,223,250,1930,-378,398,-155,648,958,
0,435,435,1501,554,620,606,-119,125,435,745,834,
632,-134,498,435,160,179,1501,-294,310,-134,489,591,
-1,98,97,498,184,205,435,-86,89,98,294,314,
-633,-63,-696,97,35,40,498,-98,102,-63,142,-2,
0,-277,-277,-696,-258,-288,97,-19,20,-277,-268,-326,
-1657,33,-1624,-277,-103,-115,-696,136,-144,33,-259,-595,
0,-547,-547,-1624,-601,-671,-277,54,-58,-547,-729,-842,
-2048,114,-1934,-547,-203,-226,-1624,317,-336,114,-562,-962,
0,-608,-608,-1934,-715,-799,-547,107,-113,-608,-912,-1038,
-1657,153,-1504,-608,-225,-252,-1934,378,-400,153,-652,-963,
-1,-437,-438,-1504,-556,-622,-608,119,-126,-437,-748,-839,
-633,132,-501,-438,-162,-181,-1504,294,-311,132,-492,-596,
0,-101,-101,-501,-186,-207,-438,85,-91,-101,-298,-319,
632,60,692,-101,-38,-42,-501,98,-104,60,-146,-4,
0,274,274,692,255,285,-101,19,-21,274,264,320,
1656,-35,1621,274,101,113,692,-136,142,-35,255,589,
0,545,545,1621,599,669,274,-54,56,545,725,837,
2047,-117,1930,545,201,225,1621,-318,334,-117,559,957,
-1,606,605,1930,713,797,545,-107,112,606,909,1033,
1656,-155,1501,605,223,249,1930,-378,398,-155,647,957,
-1,435,434,1501,554,620,605,-119,124,435,744,833,
632,-134,498,434,160,179,1501,-294,310,-134,489,591,
0,99,99,498,184,205,434,-85,89,99,294,314,
-633,-62,-695,99,36,40,498,-98,102,-62,142,-2,
-1,-277,-278,-695,-257,-288,99,-20,20,-277,-268,-326,
-1657,33,-1624,-278,-103,-115,-695,136,-144,33,-259,-595,
-1,-547,-548,-1624,-601,-671,-278,54,-58,-547,-729,-843,
-2048,114,-1934,-548,-203,-227,-1624,317,-336,114,-563,-963,
-1,-608,-609,-1934,-715,-799,-548,107,-114,-608,-913,-1039,
-1657,152,-1505,-609,-226,-252,-1934,378,-400,152,-652,-963,
0,-438,-438,-1505,-557,-622,-609,119,-126,-438,-748,-839,
-633,132,-501,-438,-162,-181,-1505,294,-311,132,-492,-596,
0,-101,-101,-501,-186,-207,-438,85,-91,-101,-298,-319,
